subjID,gint_gsoc,gint_bsoc,bint_gsoc,bint_bsoc,neu1,neu2,round1,round2_sim_num,round2_sim,round2_dissim_num,round2_dissim,sim_cond,showNUMcond,option_A,option_B,subj_SJT_choice,argument,arg_source_pos_gint_gsoc,arg_source_pos_gint_bsoc,arg_source_neg_bint_gsoc,arg_source_neg_gint_gboc,arg_source_neu_2,arg_source_neu_1,arg_source_race_ethn,arg_source_age,arg_source_gender,arg_source_poli,arg_source_edu,arg_source_occup,Jaccard
1,"important,industrious,practical,skillful","stern,humorless,moody,persistent","warm,happy,tolerant,helpful","superficial,vain,dishonest,wasteful","reward,careful,hands-on,manage","discipline,monitor,network,influence",25,NA,NA,12,NA,dissim,Yes,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,1,"As his manager, a personal conversation would be inappropriate. It could show favoritism. Pointing out how he is failing to meet expectations helps him understand what needs to change. Expressing that his earlier accomplishment did not go unnoticed could prevent him from feeling like he is not a part of the team.","important,cautious,industrious,serious","cold,stern,critical,dominating","sentimental,happy,sociable,humorous","vain,impulsive,dishonest,wasteful","reward,question,hands-on,manage","delegate,monitor,control,recognizable",White,30,Man,44,Some college,JMC Engineer,0.3
2,"cautious,intelligent,reliable,skillful","cold,stern,critical,persistent","modest,helpful,sociable,humorous","vain,impulsive,dishonest,wavering","responsible,hands-on,manage,adequate","discipline,delegate,network,influence",-50,-50,NA,NA,NA,sim,Yes,Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",1,"I think this option is the best course of action in this situation because I should be objective in approaching this situation. He has been with the company for a number of years already and he should be fully committed to his responsibilities at the company. I would like to have an open conversation with him, and tell him how important his work is and how much I valued his previous performance.","cautious,intelligent,reliable,skillful","stern,critical,dominating,persistent","modest,warm,helpful,sociable","superficial,vain,impulsive,wavering","careful,responsible,hands-on,manage","discipline,delegate,monitor,control",White,37,Man,82,High school diploma/GED,Factory worker,0.6
3,"industrious,intelligent,reliable,skillful","critical,shrewd,dominating,persistent","modest,warm,tolerant,helpful","unintelligent,superficial,impulsive,wavering","careful,responsible,hands-on,manage","monitor,control,recognizable,influence",50,NA,NA,NA,43,dissim,No,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,1,"I think in this scenario, open communication is a must. When there is an issue, open communication is necessary. This eliminates any possibility of assumptions, malice, and misunderstanding. I think openly communicating criticism while praising prior performance to this employee is important. Instead of specifying the current flaws of the employee, I choose to remind the employee of their valued performance in earlier years. Nevertheless, I am still discussing  the issues that need to be fixed presently with the employee.","industrious,practical,serious,skillful","stern,critical,dominating,persistent","tolerant,helpful,sociable,humorous","superficial,irresponsible,dishonest,wavering","question,responsible,hands-off,adequate","network,social,recognizable,influence",Asian,21,Woman,23,Associate's degree,Marketing Manager,0.33
4,"industrious,intelligent,reliable,skillful","stern,critical,shrewd,persistent","modest,warm,tolerant,helpful","superficial,vain,impulsive,wavering","reward,careful,hands-on,manage","delegate,network,control,influence",46,NA,47,NA,NA,sim,No,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,1,"Although I had nothing against the other option, I thought it was very incomplete as a strategy. As a leader, it's important to be clear about how crucial it is that employees be committed to their work and to motivate them to invest themselves in their work. And constructive criticism is part of the tools a leader has at their disposal to help an employee become better at their work and more invested. Of course, criticism should always come with acknowledgement of an employee's strengths and accomplishments, otherwise it becomes lopsided and depressing for the employee who sees only their flaws being noticed, not the good they do in their work. It has to be balanced.","industrious,intelligent,reliable,skillful","stern,critical,shrewd,persistent","modest,warm,tolerant,helpful","vain,impulsive,dishonest,wasteful","reward,question,responsible,manage","delegate,network,social,influence",White,60,Woman,96,Bachelor's degree or higher,Service Coordinator,0.66
5,"intelligent,reliable,practical,serious","stern,critical,moody,shrewd","sentimental,happy,helpful,humorous","unintelligent,vain,dishonest,wavering","careful,responsible,hands-on,adequate","discipline,delegate,recognizable,influence",41,NA,15,NA,NA,sim,No,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,1,It is important as a leader of a team to set the level of expectation at all times. There is no room for ambiguity as this can lead to loose interpretations or conflict over what was mandated at the beginning of the working relationship. It is also important to openly express praise and acknowledgement for past achievements because often team members simply lack motivation or sense of purpose and giving them that can often lead to an improved sense of self and identity within the organisation and team.,"important,intelligent,reliable,practical","critical,shrewd,dominating,persistent","warm,tolerant,helpful,sociable","superficial,vain,impulsive,wavering","careful,hands-on,manage,adequate","discipline,delegate,recognizable,influence",White,27,Man,84,Bachelor's degree or higher,"Fleet Supervisor, Entertainment Experience",0.45
6,"industrious,intelligent,reliable,skillful","stern,humorless,shrewd,persistent","warm,tolerant,helpful,sociable","superficial,vain,wavering,wasteful","question,careful,manage,adequate","network,social,recognizable,influence",-42,NA,NA,NA,-32,dissim,No,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,2,"As a leader, it is imperative to maintain an open and healthy relationship with those who work under you. In this context, it is clear that the employee has some issues regarding motivation/work ethic and requires adjustment in order to continue effectively. By doing this in an open and supportive manner, the employee should feel capable of expressing the factors that have impacted their performance. This in conjunction with the offer of support will provide them with the opportunity to improve and succeed. Though there is no guaranteetheir behavior will change, such a course will at least afford the opportunity, which is what's best both for the employee and the company.","important,cautious,industrious,serious","stern,critical,dominating,persistent","sentimental,happy,sociable,humorous","superficial,irresponsible,impulsive,dishonest","reward,hands-off,manage,adequate","delegate,monitor,network,control",White,25,Man,79,Bachelor's degree or higher,Operation Supervisor,0.2
7,"intelligent,reliable,practical,skillful","stern,critical,dominating,persistent","modest,warm,tolerant,helpful","superficial,vain,impulsive,wavering","careful,responsible,hands-on,adequate","discipline,delegate,monitor,influence",-49,NA,NA,-41,NA,dissim,Yes,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,2,"There may be outside distractions that are affecting his work performance.He's proven in the past that he is more than capable of doing above average work, so we should give his the opportunity to improve. Maybe we are not challenging him enough or not giving enough guidance. We need to let him know that weexpect more from him and it has been noted that his work has slipped.We should first try to support him if we can and let him know that we will.","intelligent,reliable,practical,skillful","stern,critical,shrewd,dominating","modest,tolerant,helpful,sociable","irresponsible,vain,impulsive,dishonest","responsible,hands-on,hands-off,manage","discipline,delegate,control,recognizable",Asian,52,Man,45,Bachelor's degree or higher,Software Tester,0.5
8,"intelligent,reliable,practical,skillful","stern,critical,humorless,dominating","warm,happy,helpful,sociable","superficial,vain,dishonest,wasteful","careful,responsible,manage,adequate","discipline,monitor,recognizable,influence",-50,NA,NA,NA,40,dissim,No,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,2,Maybe the manager has something going in their personal life. Criticizing and putting the person down wouldn't not motivate them to do a better job. That's why is better to identify the reason for their behavior and find a solution that will improve their performance without adding more stress to their job. This demonstrates to the project manager that you are there for them if they need help.,"intelligent,reliable,practical,skillful","stern,critical,shrewd,persistent","modest,warm,helpful,sociable","superficial,irresponsible,impulsive,wavering","careful,responsible,hands-on,adequate","network,control,recognizable,influence",White,25,Woman,26,Bachelor's degree or higher,self-employed,0.45
9,"important,intelligent,practical,skillful","stern,shrewd,dominating,persistent","modest,tolerant,helpful,humorous","superficial,vain,impulsive,wavering","reward,responsible,hands-on,manage","delegate,network,control,influence",-12,NA,NA,22,NA,dissim,Yes,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,2,"I would offer advice to the employee in private. I would not want to embarrass him and would like to figure out what is going on. He might need additional support, or there may be personal circumstances affecting his performance. In addition, it might be that this project is not a good fit for the individual, and we may want to figure out another project that might work better.","industrious,intelligent,reliable,skillful","stern,critical,humorless,persistent","modest,warm,tolerant,helpful","superficial,vain,impulsive,dishonest","careful,responsible,hands-off,manage","delegate,monitor,recognizable,influence",Asian,41,Man,100,Bachelor's degree or higher,Senior Research Director,0.41
10,"intelligent,reliable,practical,serious","critical,humorless,shrewd,persistent","warm,tolerant,helpful,sociable","superficial,vain,impulsive,wavering","careful,responsible,hands-on,manage","delegate,network,control,influence",-47,-33,NA,NA,NA,sim,Yes,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,2,"If this employee only recently started coming in late and underperforming, there must be a reason for it. It's important to talk to the employee to understand why there is a disconnect between them and their assignment. Perhaps the assignment is not a right fit and the employee and company could benefit from the employee being moved to a different project. If the issue is personal and unrelated to the job, it's important to know that as well, since, in that instance, moving the employee to a different assignment may not change anything. A company's success depends on the success of their employees. While it's important to reinforce the necessity of high quality work, that work should not come at the expense of the employees' wellbeing if the company wants to succeed in the long run.","industrious,intelligent,practical,skillful","stern,critical,shrewd,persistent","warm,tolerant,helpful,sociable","superficial,vain,dishonest,wavering","question,responsible,hands-on,manage","discipline,delegate,control,influence",White,62,Woman,15,Bachelor's degree or higher,copywriter,0.6
